dish,category,price_thb,calories,spicy_level,avg_rating,monthly_sales,region
ผัดไทย,noodles,50,450,1,4.7,12000,Central
ส้มตำ,salad,40,150,4,4.8,15000,Isan
ข้าวมันไก่,rice,50,550,0,4.6,11000,Central
กะเพราหมูสับ,rice,45,520,3,4.9,18000,Central
ต้มยำกุ้ง,soup,80,200,4,4.7,8000,Central
ข้าวซอย,noodles,60,480,2,4.5,6000,North
มะม่วงข้าวเหนียว,dessert,60,420,0,4.8,9000,Central
ลาบหมู,salad,45,180,3,4.4,7000,Isan
แกงเขียวหวาน,curry,55,380,3,4.6,9500,Central
ไก่ย่าง,grilled,70,350,2,4.5,8500,Isan
ราดหน้า,noodles,45,500,1,4.3,7500,Central
ขนมจีนน้ำยา,noodles,35,300,2,4.2,6500,South
หมูปิ้ง,grilled,10,120,0,4.6,25000,Central
ไข่เจียว,rice,30,350,0,4.1,14000,Central
ปอเปี๊ยะทอด,snack,25,280,1,4.3,11000,Central
กล้วยทอด,dessert,20,250,0,4.0,10000,Central
ก๋วยเตี๋ยวเรือ,noodles,15,300,2,4.7,13000,Central
โรตี,dessert,30,350,0,4.4,8000,South
ผัดซีอิ๊ว,noodles,45,480,0,4.3,9000,Central
แกงมัสมั่น,curry,65,450,1,4.5,5500,South
