id,category,question,reference_files,golden_answer,grading_notes
S1,simple,Is the PowerVault portable charger allowed on airplanes?,portable-charger.md,"Yes, the Contoso PowerVault 20K is allowed on airplanes as carry-on. It is rated at 72Wh, which is below the 100Wh IATA limit for carry-on batteries. It is not permitted in checked luggage per airline lithium battery policy.",MUST include: 72Wh rating and 100Wh IATA limit. MUST include: not allowed in checked luggage. MUST NOT: hallucinate TSA-specific rules not in the file.
S2,simple,What comes in the box with the Contoso SoundWave Bluetooth speaker?,bluetooth-speaker.md,"The SoundWave Portable Bluetooth Speaker comes with the speaker unit, a USB-C charging cable, a quick start guide, and a safety information booklet. The carrying strap accessory is sold separately.","MUST include: all 4 box items (speaker, USB-C cable, quick start guide, safety booklet). MUST NOT: list carrying strap as included."
S3,simple,What temperature presets does the Contoso TempPerfect electric kettle have?,electric-kettle.md,"The TempPerfect Smart Electric Kettle has 5 preset temperatures: 160°F, 175°F, 185°F, 200°F, and 212°F. Custom temperature entry is not available — only the 5 presets are supported.","MUST include: all 5 temperatures (160, 175, 185, 200, 212°F). MUST NOT: claim custom temperature entry is available."
S4,simple,Can I use the Contoso EdgeMaster beard trimmer in the shower?,beard-trimmer.md,"Yes, the EdgeMaster Precision Beard Trimmer is rated IPX7, which means it is fully waterproof and safe for use under running water and in the shower. After use, rinse the blade head under the tap with the guide comb removed for easy cleaning and fully dry the unit before storing.","MUST include: yes, shower safe. MUST include: IPX7 rating. MUST NOT: say it is only splash-proof or not waterproof."
S5,simple,Does the LumiTask Pro desk lamp have a USB charging port?,desk-lamp.md,"Yes, the LumiTask Pro has a built-in USB-A charging port on the base that provides 5V/2A (10W) output. It does not support fast charging protocols and is USB-A only, not USB-C.","MUST include: yes, has USB port. MUST include: USB-A only (not USB-C). MUST NOT: claim it has USB-C."
M1,medium,How large is the CrispAir air fryer basket and is it dishwasher safe?,air-fryer.md,"The CrispAir Digital Air Fryer has a 5.8-quart non-stick basket that can fit a whole chicken up to 4 lbs. Both the basket and the removable tray insert are dishwasher safe on the top rack only. Do not use abrasive scrubbers on the non-stick surface, as this voids the 6-month coating warranty.","MUST include: 5.8-quart capacity. MUST include: dishwasher safe, top rack only. MUST NOT: say the whole unit is dishwasher safe."
M2,medium,What resistance levels come with the Contoso FlexForce band set and can they be combined?,resistance-bands-set.md,"The FlexForce Resistance Band Set includes 5 bands rated at 10, 20, 30, 40, and 50 lbs. All bands can be combined on a single handle using the carabiner-style clips, providing up to 150 lbs of combined resistance.","MUST include: all 5 levels (10, 20, 30, 40, 50 lbs). MUST include: stackable up to 150 lbs. MUST NOT: state incorrect values."
M3,medium,How often should I replace the filter on the BreatheEasy air purifier and how much does it cost?,smart-air-purifier.md,The HEPA H13 filter should be replaced every 6-8 months depending on usage and air quality. The replacement filter (HA-BE360-FLT) costs $39.99. The HEPA filter cannot be washed — only the pre-filter screen can be vacuumed gently every 2-4 weeks.,MUST include: 6-8 month interval. MUST include: $39.99 cost. MUST NOT: say the HEPA filter is washable.
D2,doc_version,Are the switches on the Contoso TypeForce keyboard hot-swappable?,mechanical-keyboard.md|mechanical-keyboard-v1.md,"Yes, the TypeForce TKL supports hot-swappable Gateron switches. The PCB is compatible with both 3-pin and 5-pin MX-style switches from any manufacturer. You can swap switches without soldering. Contoso recommends Gateron or Cherry MX series switches for the best socket fit and longevity.","MUST include: yes, hot-swappable. MUST include: 3-pin and 5-pin compatible. OLD doc (v1.0) says switches are soldered and NOT swappable — if answer says soldered or not hot-swappable, wrong version retrieved. MUST NOT: cite v1.0 as current."
D4,doc_version,Does the BrewMaster Elite coffee maker support cold brew?,smart-coffee-maker.md|smart-coffee-maker-v1.md,"Yes, the BrewMaster Elite has 5 brew modes: Classic, Bold, Iced, Pour-Over, and Cold Brew. Cold Brew mode runs a slow-steep cycle of approximately 8-12 hours depending on grind coarseness and desired strength. It cannot be accelerated. The machine has a 12-cup (60 fl oz) capacity and retails for $199.99.","MUST include: yes, Cold Brew supported. MUST include: 8-12 hour cycle time. OLD doc (v1.0) explicitly says no cold brew, only 4 modes — if answer says no cold brew, wrong version retrieved. MUST NOT: cite v1.0 as current."
